Environment,Algorithm,Observation,Start Type,Success Rate (%),Avg Return,Avg Steps,Num Seeds,Avg Entropy
MiniGrid-Empty-5x5-v0,PPO,allocentric,fixed,100.0 ± 0.0,0.955 ± 0.000,5.0 ± 0.0,3,0.453 ± 0.235
MiniGrid-Empty-5x5-v0,PPO,egocentric,fixed,100.0 ± 0.0,0.952 ± 0.004,5.3 ± 0.5,3,0.388 ± 0.305
MiniGrid-Empty-5x5-v0,DQN,allocentric,fixed,100.0 ± 0.0,0.949 ± 0.001,5.7 ± 0.1,3,N/A
MiniGrid-Empty-5x5-v0,DQN,egocentric,fixed,100.0 ± 0.0,0.949 ± 0.001,5.7 ± 0.1,3,N/A
